,Split1,Split2,Split3,Split4,Split5
0,0.234993386,0.001862539,0.001192456,0.000764349,0.000280433
1,0.150776445,0.002189138,0.001246065,0.000838437,0.000270514
2,0.031950049,0.003200395,0.001184777,0.000995584,0.000254295
3,0.069875755,0.004840289,0.001523628,0.001356098,0.000250981
4,0.009524277,0.003889968,0.001717717,0.001682147,0.000256511
5,0.013115893,0.003132457,0.001884446,0.00204521,0.000277259
6,0.025957048,0.002630425,0.001981149,0.002576611,0.000350127
7,0.006650081,0.002505915,0.001842505,0.00300627,0.000515947
8,0.00774632,0.002384508,0.002330204,0.003604474,0.000780499
9,0.023990321,0.002362134,0.003300606,0.002954874,0.001163856
10,0.003933063,0.002323182,0.002514854,0.004299437,0.001330011
11,0.003433847,0.00252415,0.001686181,0.003064601,0.000933442
12,0.003452579,0.002250007,0.001560372,0.002178516,0.000552335
13,0.004932923,0.002370835,0.00126651,0.001361323,0.000336506
14,0.004043324,0.002337724,0.001177872,0.000946371,0.000265273
15,0.003419567,0.002283202,0.001078944,0.000703283,0.000246208
16,0.003561947,0.00213894,0.001059345,0.000608463,0.000241477
17,0.003655299,0.002233345,0.001045296,0.000545576,0.000241821
18,0.003663812,0.002208981,0.001069541,0.000518822,0.000244422
19,0.003514182,0.002235358,0.001114445,0.000515387,0.000246058
20,0.003558012,0.002152014,0.001155956,0.000521395,0.000249539
21,0.003561612,0.002213768,0.001206962,0.000542509,0.000254633
22,0.003687283,0.002179598,0.00124686,0.000588992,0.000263728
23,0.003484839,0.002156914,0.001254605,0.000661038,0.000278959
24,0.003502082,0.001977043,0.001357747,0.000734984,0.000306702
25,0.003562467,0.002068086,0.001527814,0.000814655,0.000352422
26,0.003490946,0.001807901,0.00167295,0.000812751,0.000405572
27,0.003311103,0.003010091,0.002279415,0.00086504,0.000439986
28,0.003392639,0.002200907,0.002191984,0.000912562,0.000419232
29,0.00339509,0.001920144,0.002888071,0.000945025,0.000355933
30,0.003283154,0.001910717,0.00217529,0.001010089,0.000278436
31,0.003376308,0.001824642,0.001601517,0.001056582,0.000246196
32,0.003344119,0.001763558,0.001296762,0.001061963,0.000221209
33,0.003226995,0.001897436,0.000919407,0.001113124,0.00023205
34,0.003229019,0.001955441,0.00077988,0.001102158,0.000213896
35,0.003259706,0.001976406,0.000681613,0.001081504,0.000222431
36,0.003146389,0.001786043,0.000623577,0.001205876,0.000220425
37,0.003255757,0.001819516,0.000557695,0.001041654,0.00024567
38,0.003079045,0.00177453,0.000528227,0.001222562,0.000362549
39,0.003118834,0.001871328,0.000504463,0.00141996,0.000674985
40,0.003064413,0.001789389,0.000487353,0.00112008,0.001329874
41,0.003077353,0.001808451,0.000474255,0.000816607,0.001908841
42,0.003031698,0.001726691,0.000465914,0.000796712,0.001582702
43,0.002974976,0.001867337,0.00045928,0.0006828,0.001267836
44,0.002964538,0.001760708,0.000455616,0.000620273,0.002747898
45,0.003067088,0.001797828,0.000453005,0.000602716,0.002933637
46,0.002979958,0.001773475,0.000452878,0.000585229,0.000803759
47,0.002870595,0.0018111,0.000460014,0.000576347,0.000252752
48,0.00295136,0.001747594,0.000483404,0.000580383,0.000266696
49,0.002937781,0.001721855,0.000558389,0.000601946,0.000239664
